Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
98;02-03-2023;Decreto Dirigenziale;;1315;;ITOLO;;DD n.98 del 02-03-2023 imp. e cont. pag. da genn. a marzo 2023.pdf;Decreto dirigenziale  n_ 98 del 02_03_2023
98;02-03-2023;Decreto Dirigenziale;;1315;;ITOLO;5.073.554.000,00;DD n.98 del 02-03-2023 imp. e cont. pag. da genn. a marzo 2023.pdf;Decreto dirigenziale  n_ 98 del 02_03_2023
98;02-03-2023;Decreto Dirigenziale;;1315;1;;1.212.991.281,11;DD n.98 del 02-03-2023 imp. e cont. pag. da genn. a marzo 2023.pdf;Decreto dirigenziale  n_ 98 del 02_03_2023
98;02-03-2023;Decreto Dirigenziale;;1315;1;ITOLO;;DD n.98 del 02-03-2023 imp. e cont. pag. da genn. a marzo 2023.pdf;Decreto dirigenziale  n_ 98 del 02_03_2023
;07-03-2007;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_07-03-2007_all_1.pdf;Decreto Dirigenziale 07_03_2007
;12-07-2006;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_12-07-2006_all_1.pdf;Decreto Dirigenziale 12_07_2006
142;14-05-2015;Decreto Dirigenziale;;;;;;D.D. 142 del 14-5-2015 - Abruzzo Fondo Tpl 05-2015.pdf;Decreto Dirigenziale 142 del 14_05_2015
15;17-02-2025;Decreto Dirigenziale;;;;;;Allegato A_RVFU_nuove istruzioni_definitivo2 F-signed.pdf;Decreto Dirigenziale 15 del 17_02_2025
15;17-02-2025;Decreto Dirigenziale;;;;;;Decreto_Ministeriale_15_del_17-02-2025.pdf;Decreto Dirigenziale 15 del 17_02_2025
172;28-04-2023;Decreto Dirigenziale;;1304;;ITOLO;15.000.000,00;M_DIP.SISTRA.REGISTRO DECRETI(R).0000172.28-04-2023.pdf;Decreto dirigenziale 172 del 28-04-2023
;19-12-2016;Decreto Dirigenziale;;;;;;DD 19dic2016 Percorso formativo accesso figure professionali GU 3gen2017.pdf;Decreto Dirigenziale 19_12_2016
;19-12-2016;Decreto Dirigenziale;;;;;;Errata-Corrige DD 19dic2016 Percorso formativo accesso figure professionali GU 13gen2017.pdf;Decreto Dirigenziale 19_12_2016
;21-01-2022;Decreto Dirigenziale;;;;;;DECRETO 21 gennaio 2022.pdf;Decreto Dirigenziale 21_01_2022
