Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
;;Decreto Direttoriale;;;;;;Decreto Direttoriale 460_2022.pdf;Autotrasporto merci - DD 446_2022 - Credito d'impo
324;;Decreto Direttoriale;;;;;;Comunicazione apertura piattaforma-signed.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ 2 ristoro gasolio autotrasporto 29 ago_rev 1 sett.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ 3 ristoro gasolio autotrasporto_9 settembre.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ 4 ristoro gasolio autotrasporto_9 sett.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ 5 ristoro gasolio autotrasporto_9 settembre.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ 6 ristoro gasolio autotrasporto_23092022.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ 7 ristoro gasolio autotrasporto 27 sett.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;FAQ ristoro gasolio autotrasporto_5 ago_rev 9 sett.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
324;;Decreto Direttoriale;;;;;;M_DIP.SISTRA.REGISTRO DECRETI(R).0000324.29-07-2022.pdf;Autotrasporto Merci - Decreto Direttoriale 324 del
214;21-07-2025;Decreto Capo;;;;;;Decreto Direttoriale prot.214 del 21-07-2025.pdf;Decreto Capo Dipartimento n°214 del 21_07_2025
172;14-11-2022;Decreto Direttoriale;;;;;;DD 172 - 14 nov aggiornam tariffe al 1 dicembre.pdf;Decreto Direttoriale 14 novembre 2022,  n_ 172
184;10-10-2025;Decreto Direttoriale;;;;;;DD Ferrobonus m_inf.ACF565C.REGISTRO DECRETI(R).0000184.10-10-2025.pdf;Decreto direttoriale 184 del 10_10_2025
;28-11-2025;Decreto Direttoriale;;;;;;m_inf.AFC41FC.REGISTRO DECRETI(R).0000462.01-12-2025.pdf;Decreto direttoriale 28 novembre 2025
;28-11-2025;Decreto Direttoriale;;;;;;Tabella di correlazione infrazioni sostitutiva di quella allegata al DD.pdf;Decreto direttoriale 28 novembre 2025
23;08-05-2023;Decreto Direttoriale;;;;;;M_TRA.TRAER_.REGISTRO DECRETI (R).0000023.08-05-2023.pdf;Decreto direttoriale 8 maggio 2023, n_ 23
16577;;Decreto Direttoriale;;;;;;ansfisa.REGISTRO_UFFICIALE.2022.0016577.pdf;Decreto direttoriale ANSFISA prot_ n_ 16577 del 22
16577;;Decreto Direttoriale;;;;;;ansfisa.REGISTRO_UFFICIALE.2022.0020976.pdf;Decreto direttoriale ANSFISA prot_ n_ 16577 del 22
16577;;Decreto Direttoriale;;;;;;Decreto direttoriale n.43 del 18.03.2021.pdf;Decreto direttoriale ANSFISA prot_ n_ 16577 del 22
62;12-10-2023;Decreto Direttoriale;;;;;;M_TRA.TRAER_.REGISTRO DECRETI (R).0000062.12-10-2023.pdf;Decreto direttoriale del 12 ottobre 2023, n_ 62
153;15-06-2022;Decreto Direttoriale;;;;;;D.D n. 153 del 15-06-2022.pdf;Decreto Direttoriale del 15_06_2022, n_ 153
;;Decreto Direttoriale;;;;;;M_TRA.TRAER_.REGISTRO DECRETI (R).0000042.01-08-2023.pdf;Decreto direttoriale del 1° agosto 2023, n _ 42
;31-05-2019;Decreto Direttoriale;;;;;;Decreto Direttoriale del 31 maggio 2019.pdf;Decreto Direttoriale del 31 maggio 2019
11;06-03-2023;Decreto Direttoriale;;;;;;M_TRA.TRAER_.REGISTRO DECRETI (R).0000011.06-03-2023.pdf;Decreto direttoriale del 6 marzo 2023, n_11
61;11-10-2023;Decreto Direttoriale;;;;;;M_TRA.TRAER_.REGISTRO DECRETI (R).0000061.11-10-2023.pdf;Decreto direttoriale dell’ 11 ottobre 2023, n_ 61
1;08-01-2024;Decreto Direttoriale;;;;;;m_inf.A880B64.REGISTRO DECRETI (R).0000001.08-01-2024.pdf;Decreto direttoriale dell’8 gennaio 2024, n_ 1
155;11-08-2022;Decreto Direttoriale;;;;;;DD 155 del 11 agosto_0.pdf;Decreto Direttoriale in data 11 agosto 2022, n_155
33;21-10-2023;Decreto Direttoriale;;;;;;DD 33 del 21-10-2023_0.pdf;Decreto Direttoriale n 33 del 21 ottobre 2023
24;29-01-2026;Decreto Direttoriale;;;;;;m_inf.A22E495.REGISTRO_DECRETI(E).0000024.29-01-2026 aggiornamento software.pdf;Decreto Direttoriale n. 24 del 29_01_2026
308;06-11-2025;Decreto Direttoriale;B74E22000050003;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;J41H01000080008;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;F81H92000000008;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;F81H91000000008;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;J41E91000000009;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;H75E17000050007;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;C14H20001090001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;H79D16002010005;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;J31B22000200006;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;G24H16001440001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;H87B20013660006;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;C41E19000010002;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;H73I18000000005;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;H93G16000780006;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;E83B17000430002;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;C49H18000060007;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;D74H20000720001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;D73H19000900006;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;E34E15001170002;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;G89H09000440003;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;J67H21009910001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;F32B17002330005;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;F34E21000540001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;D22H22000490001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;C23H19000470001;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;B53J17000370004;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;F64H16000640006;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;C74H20000700002;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;J57D18000200002;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
308;06-11-2025;Decreto Direttoriale;J14H20001460006;7007;;ITOLO;;Decreto Direttoriale n. 308 del 06-11-2025.pdf;Decreto Direttoriale n. 308 del 06_11_2025
