Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
238;;Decreto 31;;;;;;decreto 31.pdf;Attuazione della Direttiva del Ministro n 238 del
;;Decreto Ministeriale;;;;;;Errata_corrige___Decreto_24_luglio_2008__relativi_ai_mat.pdf;Comunicato errata corrige del Decreto Ministeriale
;;Decreto Interministerial;;;;;;COMUNICATO DIREZIONE GENERALE DM 21 DICEMBRE 2015.pdf;Comunicazione relativa al decreto interministerial
;;DI;;8151;;ITOLO;;decreto_numero_341_del_29-08-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7056;;ITOLO;20.000.000.000,00;decreto_numero_341_del_29-08-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7241;;;;decreto_numero_341_del_29-08-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7241;04;;;decreto_numero_341_del_29-08-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;8151;;ITOLO;;decreto_numero_366_del_10-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7056;;ITOLO;20.000.000.000,00;decreto_numero_366_del_10-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7241;;;;decreto_numero_366_del_10-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7241;05;;;decreto_numero_366_del_10-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;8151;;ITOLO;;decreto_numero_379_del_18-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7056;;ITOLO;20.000.000.000,00;decreto_numero_379_del_18-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7241;;;;decreto_numero_379_del_18-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
;;DI;;7241;06;;;decreto_numero_379_del_18-11-2016.pdf;Contributi per acquisto e sostituzione di autobus
1086;09-12-2020;Decreto Avvio;;1642;;ITOLO;;Decreto avvio 2° programma controlli reg.1086.09-12-2020.pdf;D_M_ n_ 1086 del 09_12_2020
1087;09-12-2020;Decreto Avvio;;1642;;ITOLO;;Decreto avvio 3° programma ispezioni reg.1087.09-12-2020.pdf;D_M_ n_ 1087 del 09_12_2020
354;31-12-2025;Decreto  Numero;;;;;;D.D. n. 134 Rossellina.pdf;Decreto  numero 354 del 31 dicembre 2025
354;31-12-2025;Decreto  Numero;;;;;;D.D. n. 354- Rossellina sostituzione CL.pdf;Decreto  numero 354 del 31 dicembre 2025
354;31-12-2025;Decreto  Numero;;;;;;dd 137 proroga gestione commissariale.pdf;Decreto  numero 354 del 31 dicembre 2025
354;31-12-2025;Decreto  Numero;;;;;;rossellina dd n.237 proroga.pdf;Decreto  numero 354 del 31 dicembre 2025
354;31-12-2025;Decreto  Numero;;;;;;ROSSELLINA proroga.pdf;Decreto  numero 354 del 31 dicembre 2025
40;16-03-2018;Decreto  Numero;;;;;;decreto 16 marzo 2018 commissario.pdf;Decreto  numero 40 del 16_03_2018
198;27-09-2021;Decreto  Protocollo;;;;;;decreto _protocollo_196_del_27-09-2021.pdf;Decreto  protocollo 198 del 27_09_2021 Documento U
245;04-08-2021;Decreto  Protocollo;;;;;;Decreto_protocollo_245-del_04-08-2021.pdf;Decreto  protocollo 245 del 04_08_2021
439;13-12-2021;Decreto  Protocollo;;;;;;DECRETO_protocollo_0000439_del _13-12-2021.pdf;Decreto  protocollo 439 del 13_12_2021 Verifica co
283;15-11-2024;Decreto 15;;;;;;Allegato A - schema di domanda.pdf;Decreto 15 novembre 2024 (protocollo interno n_283
