Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
148;;Decreto Interministeriale;;;;;;Decreto_Interministeriale_numero_148T_24-09-2008_all_1.pdf;Decreto Interministeriale  numero 148-T del 24_09
413;;Decreto Interministeriale;;;;;;DI 413.2022.pdf;Decreto Interministeriale (MIT- MASE - MEF) n_ 413
37;;Decreto Interministeriale;;;;;;37-DecretoRiparto-2014-Registrato.pdf;Decreto Interministeriale (MIT-MEF) N_ 37 del 28_0
137;;Decreto Interministeriale;;;;;;m_inf.A866FAA.REG_DECRETI(R).0000137.15-05-2024 (1).pdf;Decreto Interministeriale (MIT-MEF) numero 137 del
241;;Decreto Interministeriale;;1925;;ITOLO;;D.M. 241.26-09-2023.pdf;Decreto interministeriale (MIT_MEF) numero 241 del
;01-10-2013;Decreto Interministeriale;;;;;;DM_GU_244_17-10-2013.pdf;Decreto Interministeriale 01_10_2013
;05-10-2017;Decreto Interministeriale;;7248;;ITOLO;;decreto_05-10-2017.pdf;Decreto Interministeriale 05_10_2017
580;12-12-2019;Decreto Interministeriale;;;;;;CdC.pdf;Decreto interministeriale 12 dicembre 2019 n_ 580
580;12-12-2019;Decreto Interministeriale;;1315;;ITOLO;;DI 580-2019.pdf;Decreto interministeriale 12 dicembre 2019 n_ 580
580;12-12-2019;Decreto Interministeriale;;;;;;ucb.pdf;Decreto interministeriale 12 dicembre 2019 n_ 580
370;16-11-2016;Decreto Interministeriale;;;;;;Decreto_interministeriale_16-11-2016.pdf;Decreto interministeriale 16_11_2016
254;23-06-2020;Decreto Interministeriale;;7446;;ITOLO;;Decreto 254 del 23-06-2020 fondo demolizioni.pdf;Decreto interministeriale 254 del 23_06_2020
254;23-06-2020;Decreto Interministeriale;;7446;1;ITOLO;;Decreto 254 del 23-06-2020 fondo demolizioni.pdf;Decreto interministeriale 254 del 23_06_2020
