Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
217;;Decreto Ministeriale;;;;;;GU_183_2022_DM_217.pdf;Autotrasporto merci - Decreto Ministeriale n_ 217
;;Decreto Ministeriale;;;;;;Errata_corrige___Decreto_24_luglio_2008__relativi_ai_mat.pdf;Comunicato errata corrige del Decreto Ministeriale
;30-12-2008;Decreto Ministeriale;;;;;;decreto ministeriale 13333 del 30.12.2008 regione basilicata.pdf;D_M_ 13333 del 30_12_2008 Regione Basilicata
;30-12-2008;Decreto Ministeriale;;;;;;decreto ministeriale  13333 1 del 30.12.2008 regione basilicata.pdf;D_M_ 13333_1 del 30_12_2008 Regione Campania
;26-03-2010;Decreto Ministeriale;;;;;;decreto ministeriale 3721 del 26.03.2010 regione basilicata.pdf;D_M_ 3721 del 26_03_2010 Regione Basilicata
;26-03-2010;Decreto Ministeriale;;;;;;decreto ministeriale 3724 del 26.03.2010 regione campania.pdf;D_M_ 3724 DEL 26_03_2010 Regione Campania
;;Decreto Del;;7309;;ITOLO;;Decreto ministeriale numero 461 del 18 novembre 2021.pdf;Decreto del Ministro per le Infrastrutture e la mo
430;28-10-2025;Decreto Dirigenziale;;;;;;Decreto Ministeriale prot.430 del 28-10-2025.pdf;Decreto Dirigenziale 430 del 28_10_2025
431;29-10-2025;Decreto Dirigenziale;;;;;;Decreto Ministeriale prot.431 del 29-10-2025.pdf;Decreto Dirigenziale 431 del 29_10_2025
432;29-10-2025;Decreto Dirigenziale;;;;;;Decreto Ministeriale prot.432 del 29-10-2025.pdf;Decreto Dirigenziale 432 del 29_10_2025
33;14-02-2022;Decreto Interministeriale;;;;;;Decreto Ministeriale 33 del 14-02-2022.pdf;Decreto interministeriale 33 del 14_02_2022
393;13-10-2025;Decreto Ministeriale;;;;;;Decreto Ministeriale prot.393 del 13-10-2025.pdf;Decreto Ministeriale  393 del 13_10_2025
;05-06-2001;Decreto Ministeriale;;;;;;Decreto_ministeriale_5_giugno_2001___Si_bre_2001__n__217.pdf;Decreto Ministeriale  del 05_06_2001
128;09-05-2022;Decreto Ministeriale;;;;;;DM 128 del 9 maggio 2022.pdf;Decreto Ministeriale  numero 128 9 maggio 2022
13;;Decreto Ministeriale;;;;;;DM 13.pdf;Decreto ministeriale  numero 13  del 28 gennaio 20
;04-08-2011;Decreto Ministeriale;;;;;;ripartizione-fondo-sostegno-2011.pdf;Decreto Ministeriale 04_08_2011
;06-11-2009;Decreto Ministeriale;;;;;;Decreto_Ministeriale_06-11-2009_all_1.pdf;Decreto Ministeriale 06_11_2009
235;08-06-2020;Decreto Ministeriale;;7400;;;;M_INFR.GABINETTO.REG_DECRETI_R_.0000235.08-06-2020.pdf;Decreto Ministeriale 08 giugno 2020, n_ 235
235;08-06-2020;Decreto Ministeriale;;;;;;registrazione CdC DM 235.pdf;Decreto Ministeriale 08 giugno 2020, n_ 235
235;08-06-2020;Decreto Ministeriale;;;;;;registrazione UCB DM 235.pdf;Decreto Ministeriale 08 giugno 2020, n_ 235
323;10-10-2022;Decreto Ministeriale;;;;;;M_INFR.GABINETTO.REG_DECRETI(R).0000323.10-10-2022.pdf;Decreto ministeriale 10 ottobre 2022, n_ 323
